codigo,nombre,poblacion,provincia,canton,caudal,caudal humano,caudal agroganaderia,caudal industrial,caudal turismo,caudal otros,pozos,region de consumo,consumo promedio mensual en metros cubicos,consumo diario en litros
70306,Alegría,5656,7,703,24.30,0,10.00,14.30,0,0,4,Región Huetar Atlántica,5.13,171
20508,Escobal,848,2,205,18.62,11.52,2.50,4.60,0,0,14,Región Central,5.45,181.666666667
60308,Biolley,2455,,,,,,,,,,Región Brunca,5.36,178.666666667
60309,Brunka,3220,6,603,0.50,0.50,0,0,0,0,1,Región Brunca,5.36,178.666666667
40201,Barva,4997,4,402,10.00,10.00,0,0,0,0,2,Región Central,5.45,181.666666667
60301,Buenos Aires,21063,6,603,37.83,25.57,0.50,11.76,0,0,15,Región Brunca,5.36,178.666666667
60302,Volcán,3815,6,603,24.97,1.90,5.50,17.57,0,0,8,Región Brunca,5.36,178.666666667
60303,Potrero Grande,5956,6,603,27.00,27.00,0,0,0,0,6,Región Brunca,5.36,178.666666667
60304,Boruca,3074,6,603,9.50,9.50,0,0,0,0,1,Región Brunca,5.36,178.666666667
60305,Pilas,1659,,,,,,,,,,Región Brunca,5.36,178.666666667
60306,Colinas,1371,6,603,3.00,0,3.00,0,0,0,1,Región Brunca,5.36,178.666666667
60307,Chánguena,2631,6,603,1.00,0,1.00,0,0,0,1,Región Brunca,5.36,178.666666667
20503,Mercedes,3127,2,205,78.01,41.72,34.75,1.54,0,0,48,Región Central,5.45,181.666666667
30402,Tucurrique,4872,,,,,,,,,,Región Central,5.45,181.666666667
30403,Pejibaye,3245,3,304,76.40,76.40,0,0,0,0,4,Región Central,5.45,181.666666667
30401,Juan Viñas,6552,3,304,3.78,0.50,0,3.28,0,0,2,Región Central,5.45,181.666666667
20506,San José,1940,2,205,62.62,43.07,19.55,0,0,0,34,Región Central,5.45,181.666666667
20110,Desamparados,26109,2,201,315.95,139.54,11.50,157.71,6.20,1.00,75,Región Central,5.45,181.666666667
20504,San Isidro,2813,2,205,34.90,20.55,13.85,0.50,0,0,22,Región Central,5.45,181.666666667
40101,Heredia,18697,4,401,101.45,92.00,0,0,0,9.45,5,Región Central,5.45,181.666666667
